id;customer_id;status;total_amount;created_at;updated_at
1;8620;um why rightfully;28146.24;2024-12-02T05:08:07;2024-12-02T11:25:59
2;25385;huzzah geez promptly;4931.29;2024-12-02T06:26:01;2024-12-02T09:04:11
3;21830;blue gallery ethical;3071.41;2024-12-01T18:10:41;2024-12-02T04:52:01
4;29093;tenderly even male;22206.95;2024-12-01T19:28:00;2024-12-02T11:29:10
5;5773;hopelessly;19160.16;2024-12-01T23:52:55;2024-12-02T05:48:41
6;24816;lest;17631.43;2024-12-02T04:34:20;2024-12-02T06:45:36
7;3263;in till;29168.43;2024-12-02T16:39:02;2024-12-02T16:46:46
8;7517;whether;8110.4;2024-12-01T20:26:22;2024-12-02T00:26:20
9;25136;convection;15411.73;2024-12-02T03:06:42;2024-12-02T16:15:20
10;30842;jealously eek which;16008.62;2024-12-02T09:25:47;2024-12-02T00:02:23
