id;order_id;payment_status;payment_method;amount;processed_at
1;32279;anti;wearily cake;30450.7;2024-12-02T04:09:17
2;10764;boo within legislature;modulo;1627.16;2024-12-02T06:45:57
3;26431;steel;but safeguard hourly;19113.48;2024-12-02T09:10:08
4;6107;edge;underpants restfully;30463.98;2024-12-02T06:23:31
5;14647;forager wring;wearily carelessly;9612.39;2024-12-02T15:06:49
6;4205;quietly;during huzzah;25824.21;2024-12-02T14:42:20
7;126;hence usually;amongst;16816.51;2024-12-02T17:14:33
8;22291;geez;evince;11737.1;2024-12-02T16:05:39
9;4714;tomography;jubilantly illiterate;2359.06;2024-12-02T05:43:15
10;28966;phooey mechanically gadzooks;after;27834.83;2024-12-02T13:18:07
